frame_timestamp_original,frame_timestamp_new,residual,time_hardwaremanager,time_carla,brake,steer,throttle,ego_vx,ego_vy,ego_vz,ego_x,ego_y,ego_z,ego_yaw,ego_pitch,ego_roll,time_carla_s
1724764992.253558,0.0,0.0,1724764992249568700,1724764992256552700,-1.0,0.0,1.0,-8.964731932792347e-06,2.3511694962508045e-05,-0.0028502685017883778,51.57194137573242,330.8497619628906,0.3056570887565613,3.1147850677371025e-05,-0.13016290962696075,-0.1614684760570526,1724764992.2565527
1724764992.3095222,0.05,-0.005964231491088864,1724764992314509400,1724764992310520500,-1.0,0.0,1.0,-1.7619448044570163e-05,3.207105692126788e-05,-0.0018948112847283483,51.57194137573242,330.8497619628906,0.30549654364585876,3.025095065822825e-05,-0.13122841715812683,-0.1610107272863388,1724764992.3105206
1724764992.380812,0.1,-0.027254009246826166,1724764992388437400,1724764992382807100,-1.0,0.0,1.0,-1.864702244347427e-05,-1.1833515600301325e-05,-0.0009139518369920552,51.57194137573242,330.8497619628906,0.30535998940467834,2.9282717150636017e-05,-0.13278570771217346,-0.1604919284582138,1724764992.3828073
1724764992.4086645,0.15000000000000002,-0.005106544494628884,1724764992409768300,1724764992404675300,-1.0,0.0,1.0,-1.864702244347427e-05,-1.1833515600301325e-05,-0.0009139518369920552,51.57194137573242,330.8497619628906,0.30535998940467834,2.9282717150636017e-05,-0.13278570771217346,-0.1604919284582138,1724764992.4046755
1724764992.4609609,0.2,-0.007402944564819325,1724764992462957000,1724764992456513700,-1.0,0.0,1.0,-1.5539888408966362e-05,-8.745157174416818e-06,-0.0006963389459997416,51.57194137573242,330.8497619628906,0.3053153455257416,2.8769834898412228e-05,-0.13363946974277496,-0.1602477878332138,1724764992.456514
1724764992.5107157,0.25,-0.007157802581787109,1724764992516700200,1724764992509718900,-1.0,0.0,1.0,-1.0561026101640891e-05,-4.595385235006688e-06,-0.00023724857601337135,51.57194137573242,330.8497619628906,0.3053019940853119,2.8295411539147608e-05,-0.1345820426940918,-0.1600341647863388,1724764992.509719
1724764992.5606582,0.30000000000000004,-0.007100296020507768,1724764992570522200,1724764992562650700,-1.0,0.0,1.0,-7.818104677426163e-06,-2.208706746387179e-06,0.00015160102338995785,51.57194137573242,330.8497619628906,0.30529913306236267,2.810080513881985e-05,-0.13497819006443024,-0.1599426120519638,1724764992.5626507
1724764992.6146898,0.35000000000000003,-0.01113190650939938,1724764992622649700,1724764992615688700,-1.0,0.0,1.0,-2.35399724601848e-07,-3.875856009472045e-07,-4.7650537453591824e-05,51.57194137573242,330.8497619628906,0.30529242753982544,2.803290590236429e-05,-0.13513527810573578,-0.159912109375,1724764992.6156888
1724764992.6635282,0.4,-0.009970283508300759,1724764992664527800,1724764992658486600,-1.0,0.0,1.0,-1.3183847613618127e-06,4.3323106524439936e-07,0.0003946522774640471,51.57194137573242,330.8497619628906,0.30530381202697754,2.803290590236429e-05,-0.13513527810573578,-0.159912109375,1724764992.6584866
1724764992.7154927,0.45,-0.011934804916381825,1724764992719567100,1724764992711502800,-1.0,0.0,1.0,-3.260840628627193e-07,-8.136810834002972e-07,-1.1508423995110206e-05,51.57194137573242,330.8497619628906,0.3053208291530609,2.803290590236429e-05,-0.13513527810573578,-0.159912109375,1724764992.711503
1724764992.7671618,0.5,-0.013603925704956055,1724764992763171900,1724764992764167700,-1.0,0.0,1.0,-6.061124508960347e-07,-3.218569872842636e-07,0.00013268344628158957,51.57194137573242,330.8497619628906,0.30532515048980713,2.803290590236429e-05,-0.13513527810573578,-0.159912109375,1724764992.7641678
1724764992.816036,0.55,-0.012478065490722612,1724764992817033000,1724764992817033000,-1.0,0.0,1.0,-8.042750891945616e-07,2.3327561393671203e-07,0.00025490991538390517,51.57194137573242,330.8497619628906,0.30532902479171753,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764992.817033
1724764992.8684864,0.6000000000000001,-0.014928483963012606,1724764992871627200,1724764992869627900,-1.0,0.0,1.0,5.379695267038187e-07,-1.0594056902846205e-06,-0.00028055356233380735,51.57194137573242,330.8497619628906,0.30531957745552063,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764992.869628
1724764992.918368,0.65,-0.014810180664062478,1724764992926351400,1724764992922361400,-1.0,0.0,1.0,-1.306224703512271e-06,1.1809813713625772e-06,0.0005257119191810489,51.57194137573242,330.8497619628906,0.30532142519950867,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764992.9223614
1724764992.970774,0.7000000000000001,-0.01721601486206048,1724764992980517900,1724764992974763100,-1.0,0.0,1.0,7.122456509023323e-07,-1.0361014801674173e-06,-0.0003205468237865716,51.57194137573242,330.8497619628906,0.30531319975852966,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764992.9747632
1724764993.0195715,0.75,-0.016013622283935547,1724764993023625600,1724764993018477100,-1.0,0.0,1.0,0.0,0.0,0.0,51.57194137573242,330.8497619628906,0.30532336235046387,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764993.0184772
1724764993.0683372,0.8,-0.014779281616210893,1724764993078331800,1724764993070351100,-1.0,0.0,1.0,-1.5010886045274674e-06,1.7369499119013199e-06,0.0006379466503858566,51.57194137573242,330.8497619628906,0.3053273558616638,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764993.0703511
1724764993.1207051,0.8500000000000001,-0.017147207260131747,1724764993122701600,1724764993123699400,-1.0,0.0,1.0,2.9474983875843463e-07,-3.818430229785008e-07,-0.0001210100163007155,51.57194137573242,330.8497619628906,0.30531543493270874,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764993.1236997
1724764993.1686144,0.9,-0.015056467056274392,1724764993166048600,1724764993166048600,-1.0,0.0,1.0,2.482344712007034e-07,-2.784202308703243e-07,-9.968790982384235e-05,51.57194137573242,330.8497619628906,0.3053126037120819,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764993.1660485
1724764993.2210097,0.9500000000000001,-0.017451810836791926,1724764993221009700,1724764993220010900,-1.0,0.0,1.0,5.243754230832565e-07,-6.43731596028374e-07,-0.0002141274162568152,51.57194137573242,330.8497619628906,0.3053101599216461,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764993.2200112
1724764993.2695365,1.0,-0.015978574752807617,1724764993274525800,1724764993273527800,-1.0,0.0,1.0,1.4960747307668498e-07,-1.7584200406872696e-07,-6.15445533185266e-05,51.57194137573242,330.8497619628906,0.3053182065486908,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764993.2735279
1724764993.318513,1.05,-0.014954996109008745,1724764993317515800,1724764993316520000,-1.0,0.0,1.0,5.009054575566552e-07,-5.666487368216622e-07,-0.0002109713532263413,51.57194137573242,330.8497619628906,0.3053121566772461,2.7827487429021858e-05,-0.13522407412528992,-0.1598205417394638,1724764993.31652
