frame_timestamp_original,frame_timestamp_new,residual,time_hardwaremanager,time_carla,brake,steer,throttle,ego_vx,ego_vy,ego_vz,ego_x,ego_y,ego_z,ego_yaw,ego_pitch,ego_roll,time_carla_s
1724766496.0591173,0.0,0.0,1724766496056623000,1724766496055120700,-1.0,0.0,1.0,1.6189740108529804e-06,9.907459570968058e-06,-0.0025559617206454277,51.5718879699707,330.84954833984375,0.30571448802948,8.201379387173802e-05,-0.13402879238128662,-0.16058349609375,1724766496.0551207
1724766496.1222703,0.05,-0.013153028488159177,1724766496109777000,1724766496117286300,-1.0,0.0,1.0,1.5158948372118175e-06,9.12924406293314e-06,-0.0028879225719720125,51.5718879699707,330.84954833984375,0.305565744638443,8.1431440776214e-05,-0.1343429833650589,-0.1603088080883026,1724766496.1172864
1724766496.1676946,0.1,-0.008577251434326166,1724766496162175500,1724766496169691600,-1.0,0.0,1.0,-2.513890649424866e-06,-7.624656518601114e-06,-0.0011065470753237605,51.5718879699707,330.84954833984375,0.30549487471580505,8.126305328914896e-05,-0.13446593284606934,-0.1602172702550888,1724766496.1696918
1724766496.2161546,0.15000000000000002,-0.007037258148193337,1724766496206077800,1724766496212651900,-1.0,0.0,1.0,-1.073953285413154e-06,-7.74865475250408e-06,-0.0014568553306162357,51.5718879699707,330.84954833984375,0.3054170608520508,8.162348240148276e-05,-0.13467083871364594,-0.16009521484375,1724766496.212652
1724766496.264315,0.2,-0.005197572708129872,1724766496271323600,1724766496267334300,-1.0,0.0,1.0,-4.686805255005311e-07,-6.464839771069819e-06,-0.0013472269056364894,51.5718879699707,330.84954833984375,0.30536893010139465,8.140251884469762e-05,-0.1348552405834198,-0.160003662109375,1724766496.2673345
1724766496.3134332,0.25,-0.004315853118896484,1724766496313433100,1724766496309443400,-1.0,0.0,1.0,-1.4164569392960402e-06,-3.4701747608778533e-06,-0.0005477861850522459,51.5718879699707,330.84954833984375,0.30533701181411743,8.123063162202016e-05,-0.13501234352588654,-0.1599426120519638,1724766496.3094435
1724766496.3596334,0.30000000000000004,-0.0005161285400390181,1724766496368205600,1724766496363622400,-1.0,0.0,1.0,-8.705454774826649e-07,-2.517626398912398e-06,-0.00043687396100722253,51.5718879699707,330.84954833984375,0.3053288459777832,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.3636224
1724766496.4291341,0.35000000000000003,-0.02001681327819821,1724766496432125400,1724766496426115000,-1.0,0.0,1.0,9.548972457196214e-07,-1.5139823972276645e-06,-0.0004354093980509788,51.5718879699707,330.84954833984375,0.3053146302700043,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.4261153
1724766496.4748173,0.4,-0.01569995880126951,1724766496486106500,1724766496478617200,-1.0,0.0,1.0,-9.877438742478262e-07,6.822198201916763e-07,0.0003751421463675797,51.5718879699707,330.84954833984375,0.3053111433982849,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.4786172
1724766496.5242589,0.45,-0.01514153480529784,1724766496528607400,1724766496520268900,-1.0,0.0,1.0,5.234390982877812e-07,-1.1261846566412714e-06,-0.0002684248611330986,51.5718879699707,330.84954833984375,0.3052941560745239,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.520269
1724766496.5701046,0.5,-0.010987281799316406,1724766496582659800,1724766496573094900,-1.0,0.0,1.0,-1.62564140282484e-06,1.5404318673972739e-06,0.0006506132194772363,51.5718879699707,330.84954833984375,0.3053075671195984,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.573095
1724766496.6192603,0.55,-0.010142993927001909,1724766496616090700,1724766496615093800,-1.0,0.0,1.0,-9.711734350048573e-08,-2.085272683416406e-07,7.576735242764698e-06,51.5718879699707,330.84954833984375,0.3053041100502014,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.615094
1724766496.6718013,0.6000000000000001,-0.012684011459350497,1724766496670805100,1724766496677350400,-1.0,0.0,1.0,8.741012180735197e-08,-3.0855258614792547e-07,-6.038113497197628e-05,51.5718879699707,330.84954833984375,0.30531471967697144,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.6773505
1724766496.7108183,0.65,-0.0017009735107421653,1724766496702100500,1724766496708823400,-1.0,0.0,1.0,1.8295065729034832e-07,-3.886634374339337e-07,-9.148239041678607e-05,51.5718879699707,330.84954833984375,0.30531206727027893,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.7088234
1724766496.7761753,0.7000000000000001,-0.017057943344116144,1724766496766086700,1724766496772608000,-1.0,0.0,1.0,-9.266166216548299e-07,1.0127403129445156e-06,0.0003784759028349072,51.5718879699707,330.84954833984375,0.3052971065044403,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.772608
1724766496.8471668,0.75,-0.03804945945739746,1724766496841171700,1724766496846158200,-1.0,0.0,1.0,-4.754216220703711e-08,7.270461566122322e-08,1.958674329216592e-05,51.5718879699707,330.84954833984375,0.30532026290893555,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.8461583
1724766496.8922255,0.8,-0.03310818672180171,1724766496882650900,1724766496889233300,-1.0,0.0,1.0,-1.4591356602977612e-06,1.6483080571561004e-06,0.0006128989043645561,51.5718879699707,330.84954833984375,0.3053329288959503,8.107724715955555e-05,-0.13516943156719208,-0.1598815619945526,1724766496.8892336
