vehicle_speed,steer,throttle,brake,yaw,position_x,position_y
1.6189740108529804e-06,0.0,1.0,-1.0,8.201379387173802e-05,51.5718879699707,330.84954833984375
1.5158948372118175e-06,0.0,1.0,-1.0,8.1431440776214e-05,51.5718879699707,330.84954833984375
-2.513890649424866e-06,0.0,1.0,-1.0,8.126305328914896e-05,51.5718879699707,330.84954833984375
-1.073953285413154e-06,0.0,1.0,-1.0,8.162348240148276e-05,51.5718879699707,330.84954833984375
-4.686805255005311e-07,0.0,1.0,-1.0,8.140251884469762e-05,51.5718879699707,330.84954833984375
-1.4164569392960402e-06,0.0,1.0,-1.0,8.123063162202016e-05,51.5718879699707,330.84954833984375
-8.705454774826649e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
9.548972457196214e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
-9.877438742478262e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
5.234390982877812e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
-1.62564140282484e-06,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
-9.711734350048573e-08,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
8.741012180735197e-08,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
1.8295065729034832e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
-9.266166216548299e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
-4.754216220703711e-08,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
-1.4591356602977612e-06,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
2.684242872419418e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
8.977161201073613e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
1.0366081824031426e-06,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
-3.7950279363485606e-08,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
-1.2919825849166955e-06,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
4.850323307437066e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
4.875516879110364e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
-1.989151066084105e-09,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
3.9836987753005815e-07,0.0,1.0,-1.0,8.107724715955555e-05,51.5718879699707,330.84954833984375
