vehicle_speed,steer,throttle,brake,yaw,position_x,position_y
6.809028491261415e-06,0.0,1.0,-1.0,8.722389611648396e-05,51.5718994140625,330.8496398925781
1.8683092548599234e-06,0.0,1.0,-1.0,8.66313130245544e-05,51.5718994140625,330.8496398925781
1.0025500785104668e-07,0.0,1.0,-1.0,8.631805394543335e-05,51.5718994140625,330.8496398925781
-2.5508754788461374e-06,0.0,1.0,-1.0,8.631472155684605e-05,51.5718994140625,330.8496398925781
-1.5060622899909504e-06,0.0,1.0,-1.0,8.589038770878688e-05,51.5718994140625,330.8496398925781
-2.4375115117436508e-06,0.0,1.0,-1.0,8.589038770878688e-05,51.5718994140625,330.8496398925781
-1.2915938896185253e-06,0.0,1.0,-1.0,8.576732943765819e-05,51.5718994140625,330.8496398925781
-8.56341102917213e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.598092467247625e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
1.8857332406696514e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
4.511902318427019e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-9.695069991266791e-08,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
2.9327634365472477e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-2.750938392637181e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.9700055418070406e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
4.793200787389651e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
9.59158455771103e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-9.473466775489214e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.4180837979438365e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
1.8159194326017314e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-2.351602688577259e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
5.492905188475561e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.0189294243900804e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.8007530115937698e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
0.0,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.2393124961818103e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
6.477828264905838e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
3.2004163585952483e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.5612845345458481e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
1.991037379411864e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.0203860938418075e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
8.036441272452066e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.4362311162585684e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
2.2605523497531976e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
1.4872469478177663e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
2.643767629706417e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.948429826370557e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
9.276930654777971e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.932194891196559e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
2.268198500132712e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.3120607889050007e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.3706900290344493e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.4834407693342655e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
1.537980125476679e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
1.4320013406177168e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
3.7880082004448923e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.2008956673525972e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-7.183533057286695e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
8.942267868405906e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
1.6172305095096817e-06,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
3.842547187105083e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
-1.2221623535424442e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
3.5463173730931885e-07,0.0,1.0,-1.0,8.564404561184347e-05,51.5718994140625,330.8496398925781
