frame_timestamp_original,frame_timestamp_new,residual,time_hardwaremanager,time_carla,brake,steer,throttle,ego_vx,ego_vy,ego_vz,ego_x,ego_y,ego_z,ego_yaw,ego_pitch,ego_roll,time_carla_s
1724940669.567459,0.0,0.0,1724940669560912200,1724940669562907000,-1.0,0.0,1.0,6.809028491261415e-06,-3.4785800835379632e-06,-0.0037745372392237186,51.5718994140625,330.8496398925781,0.30586594343185425,8.722389611648396e-05,-0.133967325091362,-0.1606445163488388,1724940669.562907
1724940669.6229768,0.05,-0.005517673492431638,1724940669615390500,1724940669624970000,-1.0,0.0,1.0,1.8683092548599234e-06,8.651318239571992e-06,-0.002874304074794054,51.5718994140625,330.8496398925781,0.30564579367637634,8.66313130245544e-05,-0.13424736261367798,-0.16036982834339142,1724940669.6249702
1724940669.680662,0.1,-0.01320281028747558,1724940669678666900,1724940669679664000,-1.0,0.0,1.0,1.0025500785104668e-07,8.682557563588489e-06,-0.002257400657981634,51.5718994140625,330.8496398925781,0.30555057525634766,8.631805394543335e-05,-0.13446593284606934,-0.1602172553539276,1724940669.6796641
1724940669.7353776,0.15000000000000002,-0.017918443679809548,1724940669732386100,1724940669732386100,-1.0,0.0,1.0,-2.5508754788461374e-06,-6.692479018965969e-06,-0.0009583598002791405,51.5718994140625,330.8496398925781,0.3054741322994232,8.631472155684605e-05,-0.1345820426940918,-0.1601562350988388,1724940669.732386
1724940669.7863731,0.2,-0.018914031982421864,1724940669786373200,1724940669785375100,-1.0,0.0,1.0,-1.5060622899909504e-06,-5.0170515351055656e-06,-0.0008763273945078254,51.5718994140625,330.8496398925781,0.3053683042526245,8.589038770878688e-05,-0.13495087623596191,-0.1599731147289276,1724940669.785375
1724940669.8206918,0.25,-0.003232717514038086,1724940669818695900,1724940669818695900,-1.0,0.0,1.0,-2.4375115117436508e-06,-3.00306214739976e-06,-0.00030320705263875425,51.5718994140625,330.8496398925781,0.3053618371486664,8.589038770878688e-05,-0.13495087623596191,-0.1599731147289276,1724940669.818696
1724940669.8763685,0.30000000000000004,-0.008909416198730424,1724940669873374700,1724940669872377400,-1.0,0.0,1.0,-1.2915938896185253e-06,-2.756106823653681e-06,-0.00042759659118019044,51.5718994140625,330.8496398925781,0.3053382337093353,8.576732943765819e-05,-0.13507381081581116,-0.1599120944738388,1724940669.8723774
1724940669.9393966,0.35000000000000003,-0.021937513351440396,1724940669937277400,1724940669937277400,-1.0,0.0,1.0,-8.56341102917213e-07,-1.2935611266584601e-06,-0.00017076052608899772,51.5718994140625,330.8496398925781,0.30532267689704895,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940669.9372776
1724940669.9716647,0.4,-0.004205560684204079,1724940669968671300,1724940669968671300,-1.0,0.0,1.0,-1.598092467247625e-07,-4.034671619024266e-08,3.8620994018856436e-05,51.5718994140625,330.8496398925781,0.30532267689704895,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940669.9686713
1724940670.0425487,0.45,-0.025089550018310536,1724940670043551400,1724940670041551800,-1.0,0.0,1.0,1.8857332406696514e-06,-2.6406348752061604e-06,-0.0008326105307787657,51.5718994140625,330.8496398925781,0.30529049038887024,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940670.041552
1724940670.0919049,0.5,-0.024445772171020508,1724940670098424500,1724940670094897400,-1.0,0.0,1.0,4.511902318427019e-07,-9.03737827684381e-07,-0.000220735659240745,51.5718994140625,330.8496398925781,0.3052849769592285,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940670.0948975
1724940670.1395364,0.55,-0.02207727432250972,1724940670141530400,1724940670138539700,-1.0,0.0,1.0,-9.695069991266791e-08,-1.4029745898369583e-07,2.109387241944205e-05,51.5718994140625,330.8496398925781,0.30530184507369995,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940670.1385398
1724940670.1839755,0.6000000000000001,-0.016516351699829013,1724940670183975300,1724940670179987400,-1.0,0.0,1.0,2.9327634365472477e-07,-5.585185363088385e-07,-0.0001435623416909948,51.5718994140625,330.8496398925781,0.30529776215553284,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940670.1799877
1724940670.2374861,0.65,-0.020027017593383767,1724940670238473900,1724940670242463600,-1.0,0.0,1.0,-2.750938392637181e-07,1.4316441365735955e-07,0.00010511006257729605,51.5718994140625,330.8496398925781,0.305314838886261,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940670.2424636
1724940670.2763727,0.7000000000000001,-0.00891356468200677,1724940670270388800,1724940670274380100,-1.0,0.0,1.0,-1.9700055418070406e-06,2.221224804088706e-06,0.0008247577352449298,51.5718994140625,330.8496398925781,0.30533289909362793,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940670.2743802
1724940670.3263688,0.75,-0.00890970230102539,1724940670325370300,1724940670327496200,-1.0,0.0,1.0,4.793200787389651e-07,-6.317634984043252e-07,-0.00020667121862061322,51.5718994140625,330.8496398925781,0.3053165078163147,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940670.3274963
1724940670.378407,0.8,-0.010947895050048784,1724940670379403800,1724940670382397600,-1.0,0.0,1.0,9.59158455771103e-07,-1.1464105682534864e-06,-0.0004110554000362754,51.5718994140625,330.8496398925781,0.30531036853790283,8.564404561184347e-05,-0.13518992066383362,-0.1598510593175888,1724940670.382398
