vehicle_speed,steer,throttle,brake,yaw,position_x,position_y
-5.514783424587222e-06,0.0,1.0,-1.0,6.4220130298053846e-06,51.571937561035156,330.8496398925781
-1.28936990222428e-05,0.0,1.0,-1.0,5.311541826813482e-06,51.571937561035156,330.8496398925781
-1.6315809261868708e-05,0.0,1.0,-1.0,3.879432824760443e-06,51.571937561035156,330.8496398925781
-1.5900091966614127e-05,0.0,1.0,-1.0,3.555006742317346e-06,51.571937561035156,330.8496398925781
-1.3897080862079747e-05,0.0,1.0,-1.0,2.905972678490798e-06,51.571937561035156,330.8496398925781
-9.586973646946717e-06,0.0,1.0,-1.0,2.438230239931727e-06,51.571937561035156,330.8496398925781
-1.028111273626564e-05,0.0,1.0,-1.0,2.2842700673209038e-06,51.571937561035156,330.8496398925781
0.0,0.0,1.0,-1.0,2.0324600882304367e-06,51.571937561035156,330.8496398925781
6.550574767061335e-07,0.0,1.0,-1.0,2.0324600882304367e-06,51.571937561035156,330.8496398925781
-9.691477771411883e-07,0.0,1.0,-1.0,1.8789560272125527e-06,51.571937561035156,330.8496398925781
1.235985962466657e-07,0.0,1.0,-1.0,1.8789560272125527e-06,51.571937561035156,330.8496398925781
-1.2699659919235273e-06,0.0,1.0,-1.0,1.8789560272125527e-06,51.571937561035156,330.8496398925781
-6.401523222621108e-08,0.0,1.0,-1.0,1.8789560272125527e-06,51.571937561035156,330.8496398925781
-1.150424282059248e-06,0.0,1.0,-1.0,1.8789560272125527e-06,51.571937561035156,330.8496398925781
-3.013505249782611e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
4.096897328054183e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-4.1037523601517023e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-7.276440214809554e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-6.070136038260898e-08,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-1.0800246172948391e-06,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
5.953637014499691e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-5.166435244063905e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
5.681297921000805e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
2.6504616812417225e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
9.38603221811718e-08,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
1.1199497862435237e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
1.2627957346467156e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-6.800556207053887e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-3.4662534176277404e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
9.720305342852953e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
1.4468686515556328e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
9.280142876377795e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-3.6421640009498546e-11,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-9.835292757998104e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
6.529136697963622e-08,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-7.760684752611269e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-2.3220778189170233e-08,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-6.74615876050666e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-1.0130478358405526e-06,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
2.933715563813166e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-6.176643978506036e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-5.667670279763115e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-1.9853324317864463e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-1.2498144315031823e-06,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
7.729256594757317e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
2.0391146904330526e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
1.5209043624508922e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
4.142639298265749e-08,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-8.478342579110176e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
1.5244326334595826e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
-7.269490538419632e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
4.7610535602871096e-07,0.0,1.0,-1.0,1.6381540035581565e-06,51.571937561035156,330.8496398925781
